year,sex,race,hispanic_origin,age,marital_status,household_income,population,region,residence_location,victim_offender_relationship,weapon_category,crime_type,injury,incident_location
2009,female,white,non-hispanic,25 to 34,never married,15000 - 24999,100000 - 249999,south,urban,stranger,no weapon,simple assault,yes,commercial place parking lot or public area
2009,female,white,non-hispanic,25 to 34,married,35000 - 49999,under 100000,west,urban,stranger,no weapon,simple assault,no,commercial place parking lot or public area
2009,male,white,non-hispanic,35 to 49,never married,35000 - 49999,under 100000,south,suburban,stranger,other,aggravated assault,no,commercial place parking lot or public area
2009,male,black,non-hispanic,18 to 20,never married,25000 - 34999,1000000 or more,south,urban,stranger,do not know,robbery,yes,commercial place parking lot or public area
2009,male,black,non-hispanic,18 to 20,never married,25000 - 34999,1000000 or more,south,urban,stranger,firearm,aggravated assault,no,commercial place parking lot or public area
2009,female,white,non-hispanic,50 to 64,divorced,7500 - 14999,not a place,west,suburban,intimates,no weapon,simple assault,no,at or near victim's home
2009,female,other,hispanic,35 to 49,never married,unknown,100000 - 249999,south,suburban,stranger,firearm,aggravated assault,no,at or near victim's home
2009,male,black,non-hispanic,65 and older,divorced,less than 7500,under 100000,midwest,urban,intimates,no weapon,robbery,yes,at or near victim's home
2009,male,white,hispanic,15 to 17,never married,35000 - 49999,under 100000,midwest,suburban,stranger,no weapon,personal theft,no,school
2009,male,white,non-hispanic,21 to 24,never married,75000 or more,not a place,midwest,rural,well-known acquaintances,firearm,aggravated assault,no,at or near friend neighbor or relative home
2009,female,white,non-hispanic,25 to 34,married,50000 - 74999,under 100000,midwest,urban,stranger,do not know,simple assault,no,at or near victim's home
2009,male,white,non-hispanic,21 to 24,never married,less than 7500,under 100000,midwest,urban,well-known acquaintances,no weapon,aggravated assault,yes,at or near friend neighbor or relative home
2009,female,white,non-hispanic,35 to 49,never married,7500 - 14999,500000 - 999999,west,urban,well-known acquaintances,firearm,robbery,no,at or near victim's home
2009,female,white,hispanic,50 to 64,never married,50000 - 74999,250000 - 499999,west,urban,well-known acquaintances,no weapon,simple assault,yes,other location
2009,male,white,non-hispanic,25 to 34,never married,unknown,1000000 or more,west,urban,stranger,knife,aggravated assault,no,commercial place parking lot or public area
2009,male,white,non-hispanic,25 to 34,never married,unknown,1000000 or more,west,urban,stranger,no weapon,simple assault,no,commercial place parking lot or public area
2009,female,white,non-hispanic,25 to 34,never married,75000 or more,under 100000,west,suburban,stranger,other,aggravated assault,no,commercial place parking lot or public area
2009,male,white,non-hispanic,18 to 20,never married,75000 or more,under 100000,west,suburban,stranger,no weapon,rape/sexual assault,no,at or near friend neighbor or relative home
2009,male,white,non-hispanic,25 to 34,married,35000 - 49999,under 100000,west,urban,stranger,no weapon,simple assault,no,commercial place parking lot or public area
2009,male,black,non-hispanic,12 to 14,never married,unknown,100000 - 249999,west,urban,stranger,no weapon,simple assault,no,school
2009,female,white,non-hispanic,50 to 64,divorced,35000 - 49999,under 100000,south,urban,well-known acquaintances,knife,aggravated assault,yes,other location
2009,female,white,non-hispanic,35 to 49,never married,less than 7500,250000 - 499999,south,urban,intimates,no weapon,simple assault,no,at or near victim's home
2009,female,white,non-hispanic,35 to 49,never married,less than 7500,250000 - 499999,south,urban,intimates,no weapon,simple assault,no,at or near victim's home
2009,female,white,non-hispanic,50 to 64,married,75000 or more,250000 - 499999,midwest,urban,well-known acquaintances,other,aggravated assault,no,other location
2009,female,black,non-hispanic,21 to 24,never married,unknown,500000 - 999999,south,urban,intimates,knife,aggravated assault,no,at or near victim's home
2009,female,black,non-hispanic,21 to 24,never married,unknown,500000 - 999999,south,urban,other relatives,no weapon,simple assault,no,at or near victim's home
2009,male,white,non-hispanic,21 to 24,never married,7500 - 14999,250000 - 499999,midwest,urban,stranger,no weapon,simple assault,no,commercial place parking lot or public area
2009,female,white,non-hispanic,21 to 24,never married,75000 or more,under 100000,northeast,urban,stranger,no weapon,robbery,no,commercial place parking lot or public area
2009,female,other,non-hispanic,50 to 64,divorced,7500 - 14999,not a place,midwest,suburban,well-known acquaintances,other,aggravated assault,yes,at or near friend neighbor or relative home
2009,male,white,non-hispanic,35 to 49,married,35000 - 49999,under 100000,south,suburban,stranger,firearm,aggravated assault,no,at or near victim's home
2009,male,white,non-hispanic,35 to 49,divorced,unknown,250000 - 499999,south,urban,stranger,do not know,simple assault,no,commercial place parking lot or public area
2009,male,black,non-hispanic,21 to 24,never married,unknown,under 100000,midwest,urban,stranger,firearm,robbery,no,commercial place parking lot or public area
2009,female,white,non-hispanic,35 to 49,married,unknown,under 100000,northeast,urban,unknown relationship,no weapon,simple assault,no,other location
2009,female,white,non-hispanic,35 to 49,married,unknown,under 100000,northeast,urban,stranger,no weapon,simple assault,yes,other location
2009,female,white,non-hispanic,35 to 49,married,unknown,under 100000,northeast,urban,stranger,no weapon,simple assault,yes,other location
2009,male,white,non-hispanic,25 to 34,never married,35000 - 49999,under 100000,midwest,urban,intimates,no weapon,simple assault,no,at or near victim's home
2009,male,white,non-hispanic,15 to 17,never married,unknown,not a place,west,suburban,stranger,no weapon,simple assault,no,school
2009,female,white,non-hispanic,18 to 20,never married,less than 7500,250000 - 499999,midwest,urban,well-known acquaintances,no weapon,rape/sexual assault,yes,at or near victim's home
2009,female,white,non-hispanic,18 to 20,never married,75000 or more,not a place,south,suburban,stranger,firearm,robbery,no,school
2009,female,white,non-hispanic,21 to 24,never married,25000 - 34999,under 100000,midwest,urban,intimates,no weapon,simple assault,yes,at or near victim's home
2009,female,white,non-hispanic,21 to 24,never married,25000 - 34999,under 100000,midwest,urban,intimates,no weapon,simple assault,no,at or near victim's home
2009,female,white,hispanic,35 to 49,married,unknown,not a place,south,rural,intimates,do not know,simple assault,no,at or near victim's home
2009,male,white,non-hispanic,18 to 20,never married,unknown,under 100000,west,rural,well-known acquaintances,knife,aggravated assault,no,commercial place parking lot or public area
2009,female,white,non-hispanic,50 to 64,married,15000 - 24999,100000 - 249999,west,urban,intimates,no weapon,simple assault,no,at or near victim's home
2009,female,white,non-hispanic,50 to 64,married,15000 - 24999,100000 - 249999,west,urban,intimates,no weapon,simple assault,no,at or near victim's home
2009,male,white,hispanic,35 to 49,never married,75000 or more,under 100000,west,suburban,other relatives,no weapon,simple assault,no,at or near victim's home
2009,male,white,hispanic,35 to 49,never married,75000 or more,under 100000,west,suburban,other relatives,no weapon,simple assault,no,at or near victim's home
2009,female,white,non-hispanic,15 to 17,never married,50000 - 74999,under 100000,west,suburban,stranger,knife,aggravated assault,yes,commercial place parking lot or public area
2009,male,white,hispanic,21 to 24,never married,75000 or more,under 100000,west,urban,stranger,do not know,simple assault,yes,commercial place parking lot or public area
2009,female,white,non-hispanic,65 and older,divorced,25000 - 34999,100000 - 249999,west,urban,other relatives,no weapon,simple assault,no,at or near friend neighbor or relative home
2009,female,white,non-hispanic,65 and older,divorced,25000 - 34999,100000 - 249999,west,urban,other relatives,no weapon,simple assault,no,at or near friend neighbor or relative home
2009,male,white,non-hispanic,50 to 64,divorced,35000 - 49999,under 100000,west,suburban,stranger,no weapon,aggravated assault,yes,commercial place parking lot or public area
2009,female,black,non-hispanic,65 and older,never married,unknown,100000 - 249999,south,urban,unknown relationship,no weapon,simple assault,no,commercial place parking lot or public area
2009,female,white,non-hispanic,21 to 24,married,7500 - 14999,under 100000,west,rural,well-known acquaintances,no weapon,simple assault,yes,at or near friend neighbor or relative home
2009,female,white,non-hispanic,21 to 24,married,7500 - 14999,under 100000,west,rural,well-known acquaintances,no weapon,simple assault,no,at or near friend neighbor or relative home
2009,female,white,non-hispanic,21 to 24,married,7500 - 14999,under 100000,west,rural,well-known acquaintances,no weapon,simple assault,no,at or near friend neighbor or relative home
2009,female,white,non-hispanic,35 to 49,divorced,50000 - 74999,under 100000,midwest,urban,stranger,no weapon,simple assault,no,at or near victim's home
2009,female,white,non-hispanic,35 to 49,divorced,50000 - 74999,under 100000,midwest,urban,stranger,no weapon,simple assault,no,at or near victim's home
2009,female,white,non-hispanic,21 to 24,never married,50000 - 74999,under 100000,south,suburban,well-known acquaintances,do not know,simple assault,no,commercial place parking lot or public area
2009,male,white,non-hispanic,65 and older,married,unknown,100000 - 249999,west,urban,stranger,no weapon,simple assault,no,at or near victim's home
2009,male,white,non-hispanic,50 to 64,married,unknown,not a place,northeast,rural,other relatives,no weapon,simple assault,yes,commercial place parking lot or public area
2009,male,white,non-hispanic,18 to 20,never married,50000 - 74999,under 100000,northeast,suburban,unknown number of offenders,firearm,robbery,yes,at or near victim's home
2009,male,white,hispanic,35 to 49,never married,7500 - 14999,250000 - 499999,west,urban,stranger,other,aggravated assault,no,commercial place parking lot or public area
2009,female,white,non-hispanic,21 to 24,never married,75000 or more,under 100000,midwest,suburban,intimates,no weapon,simple assault,no,at or near victim's home
2009,female,white,non-hispanic,21 to 24,never married,75000 or more,under 100000,midwest,suburban,intimates,no weapon,simple assault,no,at or near victim's home
2009,female,white,non-hispanic,50 to 64,married,75000 or more,500000 - 999999,south,urban,stranger,no weapon,simple assault,no,commercial place parking lot or public area
2009,female,other,non-hispanic,35 to 49,never married,25000 - 34999,under 100000,midwest,suburban,stranger,no weapon,simple assault,no,other location
2009,female,white,non-hispanic,21 to 24,never married,7500 - 14999,under 100000,midwest,rural,intimates,no weapon,simple assault,yes,at or near victim's home
2009,female,white,hispanic,50 to 64,never married,15000 - 24999,1000000 or more,northeast,urban,stranger,do not know,personal theft,no,commercial place parking lot or public area
2009,male,white,non-hispanic,50 to 64,never married,7500 - 14999,under 100000,northeast,rural,stranger,no weapon,simple assault,no,at or near victim's home
2009,female,white,non-hispanic,35 to 49,married,75000 or more,not a place,northeast,suburban,well-known acquaintances,other,aggravated assault,no,school
2009,female,white,non-hispanic,35 to 49,married,75000 or more,not a place,northeast,suburban,well-known acquaintances,other,aggravated assault,no,school
2009,female,white,non-hispanic,12 to 14,never married,25000 - 34999,under 100000,west,rural,well-known acquaintances,no weapon,simple assault,yes,commercial place parking lot or public area
2009,female,white,non-hispanic,18 to 20,never married,unknown,under 100000,midwest,rural,intimates,no weapon,aggravated assault,yes,at or near victim's home
2009,male,white,non-hispanic,35 to 49,never married,7500 - 14999,100000 - 249999,west,urban,intimates,no weapon,simple assault,yes,commercial place parking lot or public area
2009,male,white,non-hispanic,35 to 49,never married,7500 - 14999,100000 - 249999,west,urban,intimates,no weapon,simple assault,yes,at or near victim's home
2009,male,white,non-hispanic,35 to 49,never married,7500 - 14999,100000 - 249999,west,urban,intimates,no weapon,simple assault,yes,at or near friend neighbor or relative home
2009,female,white,non-hispanic,35 to 49,married,50000 - 74999,not a place,midwest,suburban,intimates,no weapon,simple assault,no,at or near victim's home
2009,male,white,non-hispanic,15 to 17,never married,75000 or more,under 100000,midwest,rural,stranger,other,aggravated assault,no,commercial place parking lot or public area
2009,female,white,hispanic,18 to 20,never married,less than 7500,1000000 or more,northeast,urban,unknown relationship,knife,aggravated assault,no,at or near victim's home
2009,male,white,non-hispanic,21 to 24,never married,25000 - 34999,under 100000,midwest,suburban,stranger,other,aggravated assault,yes,commercial place parking lot or public area
2009,male,white,non-hispanic,25 to 34,never married,7500 - 14999,under 100000,south,rural,stranger,no weapon,simple assault,no,other location
2009,male,white,non-hispanic,65 and older,married,75000 or more,500000 - 999999,west,urban,stranger,other,aggravated assault,no,commercial place parking lot or public area
2009,female,white,non-hispanic,25 to 34,divorced,unknown,under 100000,west,suburban,well-known acquaintances,no weapon,simple assault,yes,at or near victim's home
2009,female,white,non-hispanic,25 to 34,divorced,unknown,under 100000,west,suburban,well-known acquaintances,no weapon,simple assault,no,at or near victim's home
2009,female,white,non-hispanic,25 to 34,divorced,unknown,under 100000,west,suburban,well-known acquaintances,no weapon,simple assault,no,at or near victim's home
2009,female,white,non-hispanic,25 to 34,divorced,unknown,under 100000,west,suburban,well-known acquaintances,no weapon,simple assault,no,at or near victim's home
2009,female,white,non-hispanic,25 to 34,divorced,unknown,under 100000,west,suburban,well-known acquaintances,no weapon,simple assault,no,at or near victim's home
2009,female,white,non-hispanic,25 to 34,divorced,unknown,under 100000,west,suburban,well-known acquaintances,no weapon,simple assault,no,at or near victim's home
2009,male,white,non-hispanic,50 to 64,married,7500 - 14999,under 100000,west,suburban,unknown relationship,no weapon,simple assault,no,commercial place parking lot or public area
2009,female,white,non-hispanic,50 to 64,married,75000 or more,under 100000,midwest,suburban,stranger,no weapon,simple assault,no,at or near victim's home
2009,male,white,non-hispanic,15 to 17,never married,50000 - 74999,under 100000,midwest,urban,other relatives,no weapon,simple assault,yes,at or near friend neighbor or relative home
2009,male,black,non-hispanic,35 to 49,never married,25000 - 34999,250000 - 499999,midwest,urban,stranger,firearm,aggravated assault,no,commercial place parking lot or public area
2009,male,white,non-hispanic,35 to 49,never married,50000 - 74999,100000 - 249999,west,urban,stranger,no weapon,simple assault,no,commercial place parking lot or public area
2009,male,white,non-hispanic,25 to 34,never married,7500 - 14999,under 100000,northeast,suburban,stranger,no weapon,simple assault,no,commercial place parking lot or public area
2009,female,white,non-hispanic,25 to 34,never married,7500 - 14999,under 100000,midwest,rural,intimates,no weapon,simple assault,no,at or near victim's home
2009,male,white,non-hispanic,21 to 24,married,50000 - 74999,under 100000,south,rural,well-known acquaintances,no weapon,simple assault,no,at or near victim's home
2009,male,white,non-hispanic,35 to 49,married,75000 or more,under 100000,midwest,suburban,well-known acquaintances,no weapon,simple assault,no,at or near victim's home
2009,male,white,hispanic,25 to 34,never married,35000 - 49999,1000000 or more,northeast,urban,stranger,no weapon,rape/sexual assault,no,commercial place parking lot or public area
2009,female,white,non-hispanic,50 to 64,married,7500 - 14999,1000000 or more,midwest,urban,other relatives,no weapon,simple assault,no,commercial place parking lot or public area
2009,male,black,non-hispanic,15 to 17,never married,less than 7500,500000 - 999999,midwest,urban,stranger,knife,aggravated assault,no,at or near friend neighbor or relative home
2009,male,white,non-hispanic,50 to 64,never married,7500 - 14999,under 100000,midwest,suburban,stranger,firearm,aggravated assault,no,commercial place parking lot or public area
2009,male,black,non-hispanic,35 to 49,never married,15000 - 24999,under 100000,south,rural,well-known acquaintances,no weapon,robbery,yes,at or near friend neighbor or relative home
2009,female,white,non-hispanic,21 to 24,never married,less than 7500,under 100000,northeast,suburban,well-known acquaintances,knife,aggravated assault,no,at or near victim's home
2009,female,black,non-hispanic,12 to 14,never married,75000 or more,not a place,south,suburban,well-known acquaintances,no weapon,simple assault,no,school
2009,female,white,non-hispanic,65 and older,widowed,unknown,under 100000,midwest,rural,stranger,no weapon,robbery,yes,at or near friend neighbor or relative home
2009,female,white,non-hispanic,25 to 34,never married,7500 - 14999,not a place,northeast,suburban,intimates,no weapon,simple assault,no,at or near victim's home
2009,female,white,non-hispanic,15 to 17,never married,75000 or more,100000 - 249999,northeast,urban,well-known acquaintances,no weapon,rape/sexual assault,no,school
2009,female,black,hispanic,25 to 34,never married,50000 - 74999,1000000 or more,northeast,urban,intimates,no weapon,simple assault,yes,at or near victim's home
2009,male,white,non-hispanic,65 and older,married,35000 - 49999,not a place,south,rural,other relatives,no weapon,simple assault,no,at or near friend neighbor or relative home
2009,female,white,non-hispanic,12 to 14,never married,35000 - 49999,under 100000,midwest,urban,well-known acquaintances,no weapon,simple assault,no,school
2009,female,white,non-hispanic,35 to 49,married,unknown,250000 - 499999,midwest,urban,well-known acquaintances,no weapon,simple assault,no,at or near victim's home
2009,male,white,non-hispanic,50 to 64,divorced,unknown,under 100000,northeast,rural,unknown relationship,other,aggravated assault,no,commercial place parking lot or public area
2009,female,white,non-hispanic,25 to 34,never married,75000 or more,100000 - 249999,midwest,urban,stranger,no weapon,personal theft,no,commercial place parking lot or public area
2009,male,white,non-hispanic,35 to 49,married,unknown,under 100000,northeast,suburban,well-known acquaintances,no weapon,simple assault,no,commercial place parking lot or public area
2009,male,white,non-hispanic,25 to 34,married,35000 - 49999,under 100000,midwest,suburban,well-known acquaintances,unknown weapon type,aggravated assault,no,other location
2009,male,white,non-hispanic,35 to 49,married,unknown,under 100000,northeast,suburban,stranger,no weapon,simple assault,no,other location
2009,male,white,non-hispanic,50 to 64,divorced,75000 or more,under 100000,northeast,suburban,well-known acquaintances,no weapon,simple assault,no,commercial place parking lot or public area
2009,female,white,non-hispanic,25 to 34,never married,15000 - 24999,not a place,south,rural,intimates,no weapon,simple assault,yes,at or near friend neighbor or relative home
2009,female,white,non-hispanic,50 to 64,divorced,25000 - 34999,under 100000,midwest,suburban,stranger,no weapon,simple assault,no,other location
2009,female,white,non-hispanic,35 to 49,married,less than 7500,under 100000,midwest,suburban,other relatives,other,aggravated assault,yes,at or near victim's home
2009,male,white,non-hispanic,21 to 24,married,unknown,under 100000,midwest,urban,stranger,no weapon,simple assault,yes,commercial place parking lot or public area
